"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by census subdivision, 2016 boundaries","17100142",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014201",1;2;3;4;5;6,"CURRENT - a cube available to the public and that is current","Annual","2001-01-01","2021-01-01","1",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","1","","",,
"1","Census subdivisions with 5,000-plus population, Newfoundland and Labrador","","2","1","",,
"1","St. John's (CY), Newfoundland and Labrador","[1001519]","3","2","",,
"1","Conception Bay South (T), Newfoundland and Labrador","[1001485]","4","2","",,
"1","Mount Pearl (CY), Newfoundland and Labrador","[1001542]","5","2","",,
"1","Paradise (T), Newfoundland and Labrador","[1001517]","6","2","",,
"1","Corner Brook (CY), Newfoundland and Labrador","[1005018]","7","2","",,
"1","Grand Falls-Windsor (T), Newfoundland and Labrador","[1006017]","8","2","",,
"1","Gander (T), Newfoundland and Labrador","[1006009]","9","2","",,
"1","Portugal Cove-St. Philip's (T), Newfoundland and Labrador","[1001504]","10","2","",,
"1","Happy Valley-Goose Bay (T), Newfoundland and Labrador","[1010025]","11","2","",,
"1","Torbay (T), Newfoundland and Labrador","[1001509]","12","2","",,
"1","Labrador City (T), Newfoundland and Labrador","[1010032]","13","2","",,
"1","Stephenville (T), Newfoundland and Labrador","[1004019]","14","2","",,
"1","Clarenville (T), Newfoundland and Labrador","[1007013]","15","2","",,
"1","Bay Roberts (T), Newfoundland and Labrador","[1001409]","16","2","",,
"1","Marystown (T), Newfoundland and Labrador","[1002024]","17","2","",,
"1","Deer Lake (T), Newfoundland and Labrador","[1005004]","18","2","",,
"1","Census subdivisions with population under 5,000, Newfoundland and Labrador","","19","1","",,
"1","Carbonear (T), Newfoundland and Labrador","[1001370]","20","19","",,
"1","Channel-Port aux Basques (T), Newfoundland and Labrador","[1003034]","21","19","",,
"1","Pasadena (T), Newfoundland and Labrador","[1005012]","22","19","",,
"1","Placentia (T), Newfoundland and Labrador","[1001240]","23","19","",,
"1","Bonavista (T), Newfoundland and Labrador","[1007023]","24","19","",,
"1","Lewisporte (T), Newfoundland and Labrador","[1008044]","25","19","",,
"1","Bishop's Falls (T), Newfoundland and Labrador","[1006019]","26","19","",,
"1","Division No.  8, Subd. L (SNO), Newfoundland and Labrador","[1008008]","27","19","",,
"1","Harbour Grace (T), Newfoundland and Labrador","[1001379]","28","19","",,
"1","Springdale (T), Newfoundland and Labrador","[1008061]","29","19","",,
"1","Division No.  1, Subd. E (SNO), Newfoundland and Labrador","[1001304]","30","19","",,
"1","Botwood (T), Newfoundland and Labrador","[1006022]","31","19","",,
"1","Spaniard's Bay (T), Newfoundland and Labrador","[1001396]","32","19","",,
"1","Division No.  7, Subd. E (SNO), Newfoundland and Labrador","[1007031]","33","19","",,
"1","Division No.  9, Subd. C (SNO), Newfoundland and Labrador","[1009021]","34","19","",,
"1","Holyrood (T), Newfoundland and Labrador","[1001472]","35","19","",,
"1","Burin (T), Newfoundland and Labrador","[1002005]","36","19","",,
"1","Grand Bank (T), Newfoundland and Labrador","[1002019]","37","19","",,
"1","St. Anthony (T), Newfoundland and Labrador","[1009029]","38","19","",,
"1","Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","[1001511]","39","19","",,
"1","Fogo Island (T), Newfoundland and Labrador","[1008099]","40","19","",,
"1","Twillingate (T), Newfoundland and Labrador","[1008035]","41","19","",,
"1","New-Wes-Valley (T), Newfoundland and Labrador","[1007060]","42","19","",,
"1","Wabana (T), Newfoundland and Labrador","[1001494]","43","19","",,
"1","Pouch Cove (T), Newfoundland and Labrador","[1001505]","44","19","",,
"1","Glovertown (T), Newfoundland and Labrador","[1007044]","45","19","",,
"1","Kippens (T), Newfoundland and Labrador","[1004020]","46","19","",,
"1","Gambo (T), Newfoundland and Labrador","[1007047]","47","19","",,
"1","Division No.  4, Subd. E (SNO), Newfoundland and Labrador","[1004022]","48","19","",,
"1","Division No.  7, Subd. M (SNO), Newfoundland and Labrador","[1007001]","49","19","",,
"1","Wabush (T), Newfoundland and Labrador","[1010034]","50","19","",,
"1","Division No.  8, Subd. H (SNO), Newfoundland and Labrador","[1008031]","51","19","",,
"1","Division No.  1, Subd. G (SNO), Newfoundland and Labrador","[1001339]","52","19","",,
"1","Trinity Bay North (T), Newfoundland and Labrador","[1007022]","53","19","",,
"1","Victoria (T), Newfoundland and Labrador","[1001365]","54","19","",,
"1","Division No.  4, Subd. A (SNO), Newfoundland and Labrador","[1004001]","55","19","",,
"1","Stephenville Crossing (T), Newfoundland and Labrador","[1004018]","56","19","",,
"1","Flatrock (T), Newfoundland and Labrador","[1001507]","57","19","",,
"1","Massey Drive (T), Newfoundland and Labrador","[1005017]","58","19","",,
"1","Harbour Breton (T), Newfoundland and Labrador","[1003008]","59","19","",,
"1","Witless Bay (T), Newfoundland and Labrador","[1001559]","60","19","",,
"1","Division No.  1, Subd. U (SNO), Newfoundland and Labrador","[1001124]","61","19","",,
"1","Humber Arm South (T), Newfoundland and Labrador","[1005020]","62","19","",,
"1","Clarke's Beach (T), Newfoundland and Labrador","[1001429]","63","19","",,
"1","Upper Island Cove (T), Newfoundland and Labrador","[1001385]","64","19","",,
"1","Bay Bulls (T), Newfoundland and Labrador","[1001557]","65","19","",,
"1","Sheshatshiu 3 (IRI), Newfoundland and Labrador","[1010802]","66","19","",,
"1","Irishtown-Summerside (T), Newfoundland and Labrador","[1005030]","67","19","",,
"1","Fortune (T), Newfoundland and Labrador","[1002018]","68","19","",,
"1","Baie Verte (T), Newfoundland and Labrador","[1008079]","69","19","",,
"1","Burgeo (T), Newfoundland and Labrador","[1003028]","70","19","",,
"1","Division No.  7, Subd. K (SNO), Newfoundland and Labrador","[1007009]","71","19","",,
"1","Division No.  7, Subd. L (SNO), Newfoundland and Labrador","[1007006]","72","19","",,
"1","St. George's (T), Newfoundland and Labrador","[1004013]","73","19","",,
"1","St. Lawrence (T), Newfoundland and Labrador","[1002008]","74","19","",,
"1","St. Alban's (T), Newfoundland and Labrador","[1003019]","75","19","",,
"1","Division No.  4, Subd. B (SNO), Newfoundland and Labrador","[1004006]","76","19","",,
"1","Centreville-Wareham-Trinity (T), Newfoundland and Labrador","[1007050]","77","19","",,
"1","Nain (T), Newfoundland and Labrador","[1011035]","78","19","",,
"1","Division No.  1, Subd. Y (SNO), Newfoundland and Labrador","[1001293]","79","19","",,
"1","Division No.  1, Subd. M (SNO), Newfoundland and Labrador","[1001421]","80","19","",,
"1","Harbour Main-Chapel's Cove-Lakeview (T), Newfoundland and Labrador","[1001469]","81","19","",,
"1","Roddickton-Bide Arm (T), Newfoundland and Labrador","[1009007]","82","19","",,
"1","Musgrave Harbour (T), Newfoundland and Labrador","[1008006]","83","19","",,
"1","Triton (T), Newfoundland and Labrador","[1008054]","84","19","",,
"1","Samiajij Miawpukek (IRI), Newfoundland and Labrador","[1003801]","85","19","",,
"1","Hare Bay (T), Newfoundland and Labrador","[1007049]","86","19","",,
"1","Petty Harbour-Maddox Cove (T), Newfoundland and Labrador","[1001551]","87","19","",,
"1","Arnold's Cove (T), Newfoundland and Labrador","[1001270]","88","19","",,
"1","Natuashish  2 (IRI), Newfoundland and Labrador","[1010801]","89","19","",,
"1","Rocky Harbour (T), Newfoundland and Labrador","[1009013]","90","19","",,
"1","Division No.  8, Subd. F (SNO), Newfoundland and Labrador","[1008042]","91","19","",,
"1","Division No.  1, Subd. L (SNO), Newfoundland and Labrador","[1001415]","92","19","",,
"1","Summerford (T), Newfoundland and Labrador","[1008033]","93","19","",,
"1","Whitbourne (T), Newfoundland and Labrador","[1001298]","94","19","",,
"1","LaScie (T), Newfoundland and Labrador","[1008076]","95","19","",,
"1","Division No.  4, Subd. D (SNO), Newfoundland and Labrador","[1004016]","96","19","",,
"1","Cape St. George (T), Newfoundland and Labrador","[1004033]","97","19","",,
"1","Division No.  7, Subd. F (SNO), Newfoundland and Labrador","[1007028]","98","19","",,
"1","Division No.  5, Subd. F (SNO), Newfoundland and Labrador","[1005010]","99","19","",,
"1","Peterview (T), Newfoundland and Labrador","[1006021]","100","19","",,
"1","Robert's Arm (T), Newfoundland and Labrador","[1008060]","101","19","",,
"1","Port au Choix (T), Newfoundland and Labrador","[1009022]","102","19","",,
"1","Glenwood (T), Newfoundland and Labrador","[1006012]","103","19","",,
"1","Mount Moriah (T), Newfoundland and Labrador","[1005033]","104","19","",,
"1","Division No.  4, Subd. C (SNO), Newfoundland and Labrador","[1004011]","105","19","",,
"1","Milltown-Head of Bay d'Espoir (T), Newfoundland and Labrador","[1003018]","106","19","",,
"1","Cupids (T), Newfoundland and Labrador","[1001437]","107","19","",,
"1","Carmanville (T), Newfoundland and Labrador","[1008011]","108","19","",,
"1","Norris Arm (T), Newfoundland and Labrador","[1006003]","109","19","",,
"1","Brigus (T), Newfoundland and Labrador","[1001446]","110","19","",,
"1","Division No. 10, Subd. D (SNO), Newfoundland and Labrador","[1010029]","111","19","",,
"1","Badger (T), Newfoundland and Labrador","[1006026]","112","19","",,
"1","Division No.  3, Subd. H (SNO), Newfoundland and Labrador","[1003031]","113","19","",,
"1","Embree (T), Newfoundland and Labrador","[1008043]","114","19","",,
"1","Cox's Cove (T), Newfoundland and Labrador","[1005023]","115","19","",,
"1","Conception Harbour (T), Newfoundland and Labrador","[1001461]","116","19","",,
"1","Division No.  6, Subd. C (SNO), Newfoundland and Labrador","[1006014]","117","19","",,
"1","Salmon Cove (T), Newfoundland and Labrador","[1001361]","118","19","",,
"1","Port Saunders (T), Newfoundland and Labrador","[1009019]","119","19","",,
"1","Heart's Delight-Islington (T), Newfoundland and Labrador","[1001312]","120","19","",,
"1","Norris Point (T), Newfoundland and Labrador","[1009012]","121","19","",,
"1","Dover (T), Newfoundland and Labrador","[1007057]","122","19","",,
"1","Norman's Cove-Long Cove (T), Newfoundland and Labrador","[1001285]","123","19","",,
"1","Isle aux Morts (T), Newfoundland and Labrador","[1003032]","124","19","",,
"1","King's Point (T), Newfoundland and Labrador","[1008069]","125","19","",,
"1","Division No.  1, Subd. A (SNO), Newfoundland and Labrador","[1001259]","126","19","",,
"1","Division No.  1, Subd. O (SNO), Newfoundland and Labrador","[1001452]","127","19","",,
"1","Colliers (T), Newfoundland and Labrador","[1001456]","128","19","",,
